id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2023-03-15T04:21:22;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2023-03-15T08:18:14;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2023-03-14T17:21:38;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2023-03-14T12:51:15;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2023-03-15T07:29:09;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2023-03-14T16:15:21;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2023-03-14T18:45:29;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2023-03-15T08:48:53;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2023-03-15T00:09:32;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2023-03-14T12:49:42;32637;8639
